Phase,Epoch,Loss,Acc,F1,AUC,Precision,Recall,VRAM
train,0,0.5907972121238708,0.685625,0.6903090752370398,0.685625,0.6801747148750303,0.70075,178.7197265625
validation,0,0.4561001666180499,0.8,0.825,0.8,0.7333333333333333,0.9428571428571428,163.32666015625
train,1,0.3913473161160946,0.840375,0.8420141036743783,0.8403750000000001,0.8334557923095763,0.85075,194.25390625
validation,1,0.33452170932447756,0.8688311688311688,0.8633288227334236,0.8688311688311688,0.9011299435028248,0.8285714285714286,178.86083984375
train,2,0.3377179310321808,0.865,0.8663035404803169,0.8650000000000001,0.8580186365865621,0.87475,194.56640625
validation,2,0.3425966807774135,0.8675324675324675,0.8571428571428571,0.8675324675324675,0.9300911854103343,0.7948051948051948,179.17333984375
train,3,0.3040310664176941,0.87625,0.8772016869263211,0.8762500000000001,0.8705071393402265,0.884,194.56640625
validation,3,0.28581076349530904,0.8844155844155844,0.8851612903225806,0.8844155844155843,0.8794871794871795,0.8909090909090909,179.17333984375
train,4,0.28190863388776777,0.88825,0.8892742135248948,0.88825,0.8811978399607265,0.8975,194.25390625
validation,4,0.2601467027292623,0.9,0.9045848822800495,0.9,0.8649289099526066,0.948051948051948,178.86083984375
